Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
12312,Peyton Watson,DEN,20.0,200.66,90.7184,UCLA,USA,2022,1,30,23,3.3,1.6,0.5,-12.0,0.043,0.139,0.174,0.5529999999999999,0.087,2022-23
12319,Patrick Baldwin,GSW,20.0,205.74,99.79024,Wisconsin-Milwaukee,USA,2022,1,28,31,3.9,1.3,0.4,-12.3,0.004,0.188,0.2269999999999999,0.546,0.083,2022-23
12326,Paolo Banchero,ORL,20.0,208.28,113.398,Duke,USA,2022,1,1,72,20.0,6.9,3.7,-4.2,0.035,0.174,0.272,0.529,0.171,2022-23
12351,Moussa Diabate,LAC,21.0,208.28,95.25432,Michigan,France,2022,2,43,22,2.7,2.3,0.2,-3.2,0.1369999999999999,0.106,0.125,0.546,0.0289999999999999,2022-23
12367,Ousmane Dieng,OKC,20.0,205.74,83.91452,,France,2022,1,11,39,4.9,2.7,1.2,2.9,0.03,0.141,0.154,0.505,0.108,2022-23
12370,Orlando Robinson,MIA,22.0,208.28,106.59412,Fresno State,USA,Undrafted,Undrafted,Undrafted,31,3.7,4.1,0.8,3.8,0.108,0.201,0.1159999999999999,0.565,0.086,2022-23
12374,Ochai Agbaji,UTA,23.0,195.58,97.52228,Kansas,USA,2022,1,14,59,7.9,2.1,1.1,-0.2,0.034,0.0579999999999999,0.154,0.561,0.072,2022-23
12376,O.G. Anunoby,TOR,25.0,200.66,105.233344,Indiana,United Kingdom,2017,1,23,67,16.8,5.0,2.0,3.0,0.037,0.11,0.192,0.586,0.08,2022-23
12398,TyTy Washington Jr.,HOU,21.0,190.5,88.45044,Kentucky,USA,2022,1,29,31,4.7,1.5,1.5,-6.1,0.004,0.099,0.17,0.432,0.152,2022-23
12423,Wendell Moore Jr.,MIN,21.0,195.58,97.52228,Duke,USA,2022,1,26,29,1.4,0.6,0.6,-13.5,0.025,0.086,0.139,0.465,0.162,2022-23
12425,Walker Kessler,UTA,21.0,213.36,111.13004,Auburn,USA,2022,1,22,74,9.2,8.4,0.9,3.0,0.133,0.205,0.13,0.7020000000000001,0.057,2022-23
12439,Simone Fontecchio,UTA,27.0,200.66,94.800728,,Italy,Undrafted,Undrafted,Undrafted,52,6.3,1.7,0.8,-13.1,0.036,0.07,0.192,0.495,0.079,2022-23
12443,Shaedon Sharpe,POR,20.0,195.58,90.7184,Kentucky,Canada,2022,1,7,80,9.9,3.0,1.2,-7.6,0.037,0.102,0.186,0.568,0.079,2022-23
12450,Tari Eason,HOU,22.0,203.2,97.52228,Louisiana State,USA,2022,1,17,82,9.3,6.0,1.1,-4.8,0.1009999999999999,0.172,0.184,0.525,0.075,2022-23
12486,Dominick Barlow,SAS,20.0,205.74,97.52228,,USA,Undrafted,Undrafted,Undrafted,28,3.9,3.6,0.9,-10.7,0.1,0.131,0.107,0.5670000000000001,0.079,2022-23
12502,David Roddy,MEM,22.0,193.04,115.66596,Colorado State,USA,2022,1,23,70,6.7,2.8,0.8,-1.9,0.037,0.107,0.163,0.519,0.064,2022-23
12545,Dyson Daniels,NOP,20.0,200.66,90.264808,,Australia,2022,1,8,59,3.8,3.2,2.3,0.4,0.035,0.14,0.113,0.503,0.172,2022-23
12572,Bennedict Mathurin,IND,21.0,195.58,95.25432,Arizona,Canada,2022,1,6,78,16.7,4.1,1.5,-4.3,0.037,0.103,0.235,0.5660000000000001,0.078,2022-23
12575,Blake Wesley,SAS,20.0,193.04,83.91452,Notre Dame,USA,2022,1,25,37,5.0,2.2,2.6,-13.4,0.016,0.1009999999999999,0.18,0.3929999999999999,0.201,2022-23
12583,Brandon Boston Jr.,LAC,21.0,198.12,85.275296,Kentucky,USA,2021,2,51,22,6.5,1.4,0.9,-7.7,0.024,0.098,0.237,0.515,0.129,2022-23
12589,AJ Green,MIL,23.0,195.58,86.18248,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,4.4,1.3,0.6,-4.9,0.016,0.105,0.159,0.607,0.092,2022-23
12590,AJ Griffin,ATL,19.0,198.12,99.79024,Duke,USA,2022,1,16,72,8.9,2.1,1.0,1.5,0.026,0.08,0.174,0.5770000000000001,0.07,2022-23
12607,Andrew Nembhard,IND,23.0,190.5,86.636072,Gonzaga,Canada,2022,2,31,75,9.5,2.7,4.5,-5.9,0.016,0.078,0.159,0.528,0.222,2022-23
12613,Christian Braun,DEN,22.0,198.12,99.79024,Kansas,USA,2022,1,21,76,4.7,2.4,0.8,-4.3,0.042,0.1119999999999999,0.127,0.568,0.07,2022-23
12614,Christian Koloko,TOR,23.0,213.36,104.32616,Arizona,Cameroon,2022,2,33,58,3.1,2.9,0.5,9.0,0.094,0.11,0.1,0.517,0.05,2022-23
12629,Dalen Terry,CHI,20.0,200.66,88.45044,Arizona,USA,2022,1,18,38,2.2,1.0,0.6,3.3,0.0559999999999999,0.1169999999999999,0.173,0.523,0.157,2022-23
12637,Bryce McGowens,CHA,20.0,198.12,79.3786,Nebraska,USA,2022,2,40,46,5.3,2.0,1.2,-9.7,0.025,0.088,0.147,0.519,0.098,2022-23
12643,Caleb Houstan,ORL,20.0,203.2,92.98636,Michigan,Canada,2022,2,32,51,3.8,1.9,0.6,-5.3,0.0409999999999999,0.083,0.107,0.508,0.051,2022-23
12668,Kevon Harris,ORL,26.0,198.12,97.975872,Stephen F. Austin,USA,Undrafted,Undrafted,Undrafted,34,4.1,2.1,0.5,0.3,0.057,0.092,0.129,0.564,0.049,2022-23
12681,Kennedy Chandler,MEM,20.0,180.34,77.11064,Tennessee,USA,2022,2,38,36,2.2,1.1,1.6,-5.4,0.0289999999999999,0.103,0.15,0.44,0.278,2022-23
12693,Keegan Murray,SAC,22.0,203.2,102.0582,Iowa,USA,2022,1,4,80,12.2,4.6,1.2,1.7,0.038,0.123,0.156,0.597,0.053,2022-23
12701,Kenneth Lofton Jr.,MEM,20.0,198.12,124.7378,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,24,5.0,2.1,0.8,-13.4,0.0969999999999999,0.198,0.267,0.5720000000000001,0.198,2022-23
12706,MarJon Beauchamp,MIL,22.0,200.66,90.264808,,USA,2022,1,24,52,5.1,2.2,0.7,-7.2,0.05,0.103,0.175,0.513,0.072,2022-23
12709,Mark Williams,CHA,21.0,213.36,108.86208,Duke,USA,2022,1,15,43,9.0,7.1,0.4,-4.7,0.106,0.2319999999999999,0.168,0.659,0.033,2022-23
12718,Max Christie,LAL,20.0,195.58,86.18248,Michigan State,USA,2022,2,35,41,3.1,1.8,0.5,-7.1,0.012,0.126,0.1,0.5660000000000001,0.054,2022-23
12747,Malaki Branham,SAS,20.0,193.04,81.64656,Ohio State,USA,2022,1,20,66,10.2,2.7,1.9,-11.1,0.017,0.098,0.188,0.524,0.1119999999999999,2022-23
12755,Jalen Williams,OKC,22.0,195.58,95.707912,Santa Clara,USA,2022,1,12,75,14.1,4.5,3.3,-1.0,0.035,0.109,0.18,0.601,0.152,2022-23
12773,Jalen Duren,DET,19.0,210.82,113.398,Memphis,USA,2022,1,13,67,9.1,8.9,1.1,-8.3,0.13,0.221,0.139,0.655,0.069,2022-23
12783,Jabari Smith Jr.,HOU,20.0,210.82,99.79024,Auburn,USA,2022,1,3,79,12.8,7.2,1.3,-11.3,0.047,0.18,0.183,0.514,0.059,2022-23
12785,Jabari Walker,POR,20.0,200.66,90.7184,Colorado,USA,2022,2,57,56,3.9,2.3,0.6,-9.0,0.074,0.135,0.1639999999999999,0.496,0.08,2022-23
12787,Jaden Hardy,DAL,20.0,190.5,89.811216,,USA,2022,2,37,48,8.8,1.9,1.4,-3.1,0.015,0.106,0.248,0.5710000000000001,0.147,2022-23
12788,Jaden Ivey,DET,21.0,193.04,88.45044,Purdue,USA,2022,1,5,74,16.3,3.9,5.2,-13.0,0.03,0.094,0.251,0.528,0.2689999999999999,2022-23
12793,Jake LaRavia,MEM,21.0,200.66,106.59412,Wake Forest,USA,2022,1,19,35,3.0,1.8,0.6,-7.6,0.044,0.1,0.1169999999999999,0.531,0.068,2022-23
12819,Johnny Davis,WAS,21.0,193.04,88.45044,Wisconsin,USA,2022,1,10,28,5.8,2.3,1.0,-6.2,0.02,0.125,0.192,0.446,0.1,2022-23
12824,Jaylin Williams,OKC,21.0,205.74,108.86208,Arkansas,USA,2022,2,34,49,5.9,4.9,1.6,-4.6,0.045,0.23,0.133,0.5589999999999999,0.109,2022-23
12827,Jeff Dowtin Jr.,TOR,26.0,190.5,80.28578399999998,Rhode Island,USA,Undrafted,Undrafted,Undrafted,25,2.4,0.9,1.2,-0.6,0.022,0.069,0.106,0.5,0.154,2022-23
12832,Jeremy Sochan,SAS,20.0,203.2,104.32616,Baylor,Poland,2022,1,9,56,11.0,5.3,2.5,-7.0,0.06,0.14,0.195,0.509,0.132,2022-23
